airline_name,month,origin_city,total_flights,delayed_flights,lat,lon
Republic Airways,2,"New York, NY",5093,852.0,40.6413,-73.7781
Republic Airways,3,"Atlanta, GA",99,11.0,33.6407,-84.4277
Republic Airways,3,"Charlotte, NC",262,32.0,35.214,-80.9431
Republic Airways,3,"Chicago, IL",2907,373.0,41.9742,-87.9073
Republic Airways,3,"Dallas/Fort Worth, TX",5,1.0,32.8998,-97.0403
Republic Airways,3,"Houston, TX",51,11.0,29.9804,-95.3397
Republic Airways,3,"New York, NY",5529,796.0,40.6413,-73.7781
SkyWest Airlines,1,"Atlanta, GA",741,204.0,33.6407,-84.4277
SkyWest Airlines,1,"Chicago, IL",4359,1137.0,41.9742,-87.9073
SkyWest Airlines,1,"Dallas/Fort Worth, TX",2422,482.0,32.8998,-97.0403
SkyWest Airlines,1,"Denver, CO",5990,1376.0,39.8561,-104.6737
SkyWest Airlines,1,"Houston, TX",936,209.0,29.9804,-95.3397
SkyWest Airlines,1,"Las Vegas, NV",408,102.0,36.084,-115.1537
SkyWest Airlines,1,"Los Angeles, CA",3440,441.0,33.9416,-118.4085
SkyWest Airlines,1,"New York, NY",481,99.0,40.6413,-73.7781
SkyWest Airlines,1,"Phoenix, AZ",2409,258.0,33.4342,-112.0081
SkyWest Airlines,1,"San Francisco, CA",2578,366.0,37.6213,-122.379
SkyWest Airlines,1,"Seattle, WA",2138,296.0,47.4502,-122.3088
SkyWest Airlines,2,"Atlanta, GA",623,150.0,33.6407,-84.4277
SkyWest Airlines,2,"Chicago, IL",3763,1000.0,41.9742,-87.9073
SkyWest Airlines,2,"Dallas/Fort Worth, TX",2377,684.0,32.8998,-97.0403
SkyWest Airlines,2,"Denver, CO",5495,1252.0,39.8561,-104.6737
SkyWest Airlines,2,"Houston, TX",1018,250.0,29.9804,-95.3397
SkyWest Airlines,2,"Las Vegas, NV",373,96.0,36.084,-115.1537
SkyWest Airlines,2,"Los Angeles, CA",3187,552.0,33.9416,-118.4085
SkyWest Airlines,2,"New York, NY",414,61.0,40.6413,-73.7781
SkyWest Airlines,2,"Phoenix, AZ",2388,399.0,33.4342,-112.0081
SkyWest Airlines,2,"San Francisco, CA",2433,460.0,37.6213,-122.379
SkyWest Airlines,2,"Seattle, WA",1965,404.0,47.4502,-122.3088
SkyWest Airlines,3,"Atlanta, GA",720,152.0,33.6407,-84.4277
SkyWest Airlines,3,"Chicago, IL",4531,1293.0,41.9742,-87.9073
SkyWest Airlines,3,"Dallas/Fort Worth, TX",2787,675.0,32.8998,-97.0403
SkyWest Airlines,3,"Denver, CO",6163,892.0,39.8561,-104.6737
SkyWest Airlines,3,"Houston, TX",1340,329.0,29.9804,-95.3397
SkyWest Airlines,3,"Las Vegas, NV",491,112.0,36.084,-115.1537
SkyWest Airlines,3,"Los Angeles, CA",3604,539.0,33.9416,-118.4085
SkyWest Airlines,3,"New York, NY",418,73.0,40.6413,-73.7781
SkyWest Airlines,3,"Phoenix, AZ",3033,722.0,33.4342,-112.0081
SkyWest Airlines,3,"San Francisco, CA",3018,632.0,37.6213,-122.379
SkyWest Airlines,3,"Seattle, WA",2294,299.0,47.4502,-122.3088
Southwest Airlines,1,"Atlanta, GA",2293,433.0,33.6407,-84.4277
Southwest Airlines,1,"Charlotte, NC",230,53.0,35.214,-80.9431
Southwest Airlines,1,"Chicago, IL",5072,876.0,41.9742,-87.9073
Southwest Airlines,1,"Denver, CO",6874,1832.0,39.8561,-104.6737
Southwest Airlines,1,"Houston, TX",3803,593.0,29.9804,-95.3397
Southwest Airlines,1,"Las Vegas, NV",6761,1440.0,36.084,-115.1537
Southwest Airlines,1,"Los Angeles, CA",1820,222.0,33.9416,-118.4085
Southwest Airlines,1,"New York, NY",995,171.0,40.6413,-73.7781
Southwest Airlines,1,"Phoenix, AZ",5391,998.0,33.4342,-112.0081
Southwest Airlines,1,"San Francisco, CA",591,127.0,37.6213,-122.379
Southwest Airlines,1,"Seattle, WA",520,66.0,47.4502,-122.3088
Southwest Airlines,2,"Atlanta, GA",2100,425.0,33.6407,-84.4277
Southwest Airlines,2,"Charlotte, NC",216,44.0,35.214,-80.9431
Southwest Airlines,2,"Chicago, IL",4602,743.0,41.9742,-87.9073
Southwest Airlines,2,"Denver, CO",6500,1845.0,39.8561,-104.6737
Southwest Airlines,2,"Houston, TX",3588,620.0,29.9804,-95.3397
Southwest Airlines,2,"Las Vegas, NV",6450,1451.0,36.084,-115.1537
Southwest Airlines,2,"Los Angeles, CA",1711,270.0,33.9416,-118.4085
Southwest Airlines,2,"New York, NY",886,151.0,40.6413,-73.7781
Southwest Airlines,2,"Phoenix, AZ",5129,991.0,33.4342,-112.0081
Southwest Airlines,2,"San Francisco, CA",533,180.0,37.6213,-122.379
Southwest Airlines,2,"Seattle, WA",468,80.0,47.4502,-122.3088
Southwest Airlines,3,"Atlanta, GA",2426,484.0,33.6407,-84.4277
Southwest Airlines,3,"Charlotte, NC",263,53.0,35.214,-80.9431
Southwest Airlines,3,"Chicago, IL",5922,1201.0,41.9742,-87.9073
Southwest Airlines,3,"Denver, CO",7722,1856.0,39.8561,-104.6737
Southwest Airlines,3,"Houston, TX",4345,851.0,29.9804,-95.3397
Southwest Airlines,3,"Las Vegas, NV",7659,1903.0,36.084,-115.1537
Southwest Airlines,3,"Los Angeles, CA",2135,383.0,33.9416,-118.4085
Southwest Airlines,3,"New York, NY",968,198.0,40.6413,-73.7781
Southwest Airlines,3,"Phoenix, AZ",6384,1573.0,33.4342,-112.0081
Southwest Airlines,3,"San Francisco, CA",644,177.0,37.6213,-122.379
Southwest Airlines,3,"Seattle, WA",552,102.0,47.4502,-122.3088
Spirit Airlines,1,"Atlanta, GA",700,178.0,33.6407,-84.4277
Spirit Airlines,1,"Charlotte, NC",302,60.0,35.214,-80.9431
Spirit Airlines,1,"Chicago, IL",584,115.0,41.9742,-87.9073
Spirit Airlines,1,"Dallas/Fort Worth, TX",649,133.0,32.8998,-97.0403
Spirit Airlines,1,"Houston, TX",731,160.0,29.9804,-95.3397
Spirit Airlines,1,"Las Vegas, NV",1633,219.0,36.084,-115.1537
Spirit Airlines,1,"Los Angeles, CA",792,127.0,33.9416,-118.4085
Spirit Airlines,1,"New York, NY",666,100.0,40.6413,-73.7781
Spirit Airlines,1,"Phoenix, AZ",41,10.0,33.4342,-112.0081
Spirit Airlines,1,"Seattle, WA",59,10.0,47.4502,-122.3088
Spirit Airlines,2,"Atlanta, GA",653,167.0,33.6407,-84.4277
Spirit Airlines,2,"Charlotte, NC",252,51.0,35.214,-80.9431
Spirit Airlines,2,"Chicago, IL",463,86.0,41.9742,-87.9073
Spirit Airlines,2,"Dallas/Fort Worth, TX",515,97.0,32.8998,-97.0403
Spirit Airlines,2,"Houston, TX",561,94.0,29.9804,-95.3397
Spirit Airlines,2,"Las Vegas, NV",1583,220.0,36.084,-115.1537
Spirit Airlines,2,"Los Angeles, CA",609,76.0,33.9416,-118.4085
Spirit Airlines,2,"New York, NY",595,83.0,40.6413,-73.7781
Spirit Airlines,2,"Phoenix, AZ",45,10.0,33.4342,-112.0081
Spirit Airlines,2,"Seattle, WA",61,13.0,47.4502,-122.3088
Spirit Airlines,3,"Atlanta, GA",843,232.0,33.6407,-84.4277
Spirit Airlines,3,"Charlotte, NC",303,64.0,35.214,-80.9431
Spirit Airlines,3,"Chicago, IL",719,189.0,41.9742,-87.9073
Spirit Airlines,3,"Dallas/Fort Worth, TX",720,131.0,32.8998,-97.0403
Spirit Airlines,3,"Houston, TX",756,151.0,29.9804,-95.3397
Spirit Airlines,3,"Las Vegas, NV",1486,197.0,36.084,-115.1537
Spirit Airlines,3,"Los Angeles, CA",670,81.0,33.9416,-118.4085
Spirit Airlines,3,"New York, NY",627,114.0,40.6413,-73.7781
Spirit Airlines,3,"Phoenix, AZ",55,15.0,33.4342,-112.0081
Spirit Airlines,3,"Seattle, WA",57,6.0,47.4502,-122.3088
United Airlines,1,"Atlanta, GA",567,110.0,33.6407,-84.4277
United Airlines,1,"Charlotte, NC",216,23.0,35.214,-80.9431
United Airlines,1,"Chicago, IL",6637,1265.0,41.9742,-87.9073
United Airlines,1,"Dallas/Fort Worth, TX",746,119.0,32.8998,-97.0403
